NKTR, phase3, 2015-03-17, 
NYMX, phase3, 2015-07-27, 
CHRS, phase3, 2016-01-11, 
JAZZ, phase3, 2016-03-14, 
MRNS, phase3, 2016-06-13, 
NVAX, phase3, 2016-09-15, 
ACOR, phase3, 2016-11-21, 
OPK, phase3, 2016-12-30, 
NOVN, phase3, 2017-01-27, 
TENX, phase3, 2017-01-31, 
JNJ, phase3, 2017-02-08, 
CMRX, phase3, 2017-02-22, 
PTCT, phase3, 2017-03-02, 
JAZZ, phase3, 2017-03-20, 
NVS, phase3, 2017-03-22, 
NKTR, phase3, 2017-04-05, 
AEZS, phase3, 2017-05-01, 
AZN, phase3, 2017-05-10, 
ARDX, phase3, 2017-05-12, 
RDHL, phase3, 2017-06-14, 
PFE, phase3, 2017-06-19, 
MRK, phase3, 2017-07-24, 
TLPH, phase3, 2017-08-01, 
ALPMY, phase3, 2017-08-14, 
REGN, phase3, 2017-08-14, 
RARE, phase3, 2017-08-22, 
SAGE, phase3, 2017-09-12, 
FOLD, phase3, 2017-09-13, 
ARAV, phase3, 2017-09-21, 
NVO, phase3, 2017-09-29, 
BMY, phase3, 2017-10-28, 
SAGE, phase3, 2017-11-09, 
ACOR, phase3, 2017-11-15, 
CYTK, phase3, 2017-11-21, 
NKTR, phase3, 2017-11-24, 
PFE, phase3, 2017-11-28, 
LLY, phase3, 2017-12-08, 
MRK, phase3, 2017-12-14, 
CERS, phase3, 2018-01-23, 
OBSV, phase3, 2018-02-26, 
NTBL, phase3, 2018-03-08, 
MRK, phase3, 2018-04-06, 
INCY, phase3, 2018-04-06, 
PFE, phase3, 2018-04-10, 
RHHBY, phase3, 2018-05-10, 
EXEL, phase3, 2018-05-10, 
AZN, phase3, 2018-05-11, 
AZN, phase3, 2018-05-30, 
AZN, phase3, 2018-06-11, 
LLY, phase3, 2018-06-11, 
VTVT, phase3, 2018-06-12, 
TEVA, phase3, 2018-06-15, 
ABBV, phase3, 2018-07-11, 
JNJ, phase3, 2018-07-11, 
AZN, phase3, 2018-07-26, 
TNXP, phase3, 2018-07-27, 
RDHL, phase3, 2018-07-30, 
BLPH, phase3, 2018-08-07, 
NVS, phase3, 2018-08-23, 
LNTH, phase3, 2018-09-12, 
GERN, phase3, 2018-09-27, 
PFE, phase3, 2018-09-28, 
BMY, phase3, 2018-10-12, 
RARE, phase3, 2018-10-26, 
AZN, phase3, 2018-11-16, 
BMY, phase3, 2018-11-26, 
AZN, phase3, 2018-12-07, 
LLY, phase3, 2018-12-17, 
AZN, phase3, 2018-12-20, 
PFE, phase3, 2018-12-21, 
SAGE, phase3, 2019-01-07, 
RHHBY, phase3, 2019-01-30, 
ACIU, phase3, 2019-01-30, 
GILD, phase3, 2019-02-11, 
LLY, phase3, 2019-02-19, 
PFE, phase3, 2019-02-19, 
MRK, phase3, 2019-02-19, 
NVAX, phase3, 2019-02-28, 
BIIB, phase3, 2019-03-21, 
UTHR, phase3, 2019-04-08, 
TCON, phase3, 2019-04-12, 
MRK, phase3, 2019-04-25, 
GILD, phase3, 2019-04-25, 
NVS, phase3, 2019-05-05, 
ABBV, phase3, 2019-05-17, 
CARA, phase3, 2019-05-19, 
MRK, phase3, 2019-05-20, 
OCUL, phase3, 2019-05-20, 
RHHBY, phase3, 2019-06-04, 
RHHBY, phase3, 2019-06-13, 
VBIV, phase3, 2019-06-17, 
IRWD, phase3, 2019-06-18, 
RHHBY, phase3, 2019-06-20, 
EXEL, phase3, 2019-06-20, 
BMY, phase3, 2019-06-24, 
ALDX, phase3, 2019-06-25, 
PFE, phase3, 2019-06-28, 
ITCI, phase3, 2019-07-08, 
SLGL, phase3, 2019-07-08, 
ITCI, phase3, 2019-07-08, 
AMGN, phase3, 2019-07-11, 
NVS, phase3, 2019-07-11, 
ACAD, phase3, 2019-07-22, 
TAK, phase3, 2019-07-22, 
JNJ, phase3, 2019-07-26, 
ALKS, phase3, 2019-07-30, 
PFE, phase3, 2019-08-02, 
GLYC, phase3, 2019-08-02, 
LLY, phase3, 2019-08-05, 
RHHBY, phase3, 2019-08-05, 
NCNA, phase3, 2019-08-20, 
AZN, phase3, 2019-08-21, 
TVTX, phase3, 2019-08-22, 
ARDX, phase3, 2019-09-03, 
QLGN, phase3, 2019-09-12, 
BIIB, phase3, 2019-09-13, 
BIIB, phase3, 2019-09-13, 
AMGN, phase3, 2019-09-24, 
RHHBY, phase3, 2019-09-29, 
RHHBY, phase3, 2019-09-30, 
AGIO, phase3, 2019-09-30, 
MDT, phase3, 2019-10-07, 
LLY, phase3, 2019-10-16, 
NVS, phase3, 2019-10-22, 
CPRX, phase3, 2019-10-30, 
NVS, phase3, 2019-11-01, 
HALO, phase3, 2019-11-04, 
SUPN, phase3, 2019-11-05, 
OBSV, phase3, 2019-11-06, 
ALNA, phase3, 2019-11-07, 
TAK, phase3, 2019-11-08, 
PFE, phase3, 2019-11-08, 
ASLN, phase3, 2019-11-11, 
MOR, phase3, 2019-11-18, 
INVA, phase3, 2019-11-25, 
SAGE, phase3, 2019-12-05, 
ITRM, phase3, 2019-12-10, 
LLY, phase3, 2019-12-13, 
NVS, phase3, 2019-12-16, 
INCY, phase3, 2020-01-02, 
MRK, phase3, 2020-01-06, 
HCM, phase3, 2020-01-20, 
BGNE, phase3, 2020-01-21, 
RHHBY, phase3, 2020-01-24, 
SNY, phase3, 2020-01-30, 
LNTH, phase3, 2020-02-03, 
UTHR, phase3, 2020-02-03, 
PFE, phase3, 2020-02-10, 
BHVN, phase3, 2020-02-10, 
RHHBY, phase3, 2020-02-10, 
LLY, phase3, 2020-02-10, 
TEVA, phase3, 2020-02-19, 
SUPN, phase3, 2020-02-25, 
VNDA, phase3, 2020-02-25, 
AZN, phase3, 2020-03-06, 
BMY, phase3, 2020-03-09, 
TAK, phase3, 2020-03-10, 
AZN, phase3, 2020-03-12, 
PFE, phase3, 2020-03-13, 
NVAX, phase3, 2020-03-24, 
BIIB, phase3, 2020-03-30, 
REGN, phase3, 2020-04-27, 
SNY, phase3, 2020-04-27, 
BPMC, phase3, 2020-04-28, 
SUPN, phase3, 2020-05-05, 
GNFT, phase3, 2020-05-11, 
NVO, phase3, 2020-05-13, 
GLPG, phase3, 2020-05-20, 
GILD, phase3, 2020-05-20, 
SNDX, phase3, 2020-05-21, 
PFE, phase3, 2020-05-29, 
ITRM, phase3, 2020-06-01, 
OCGN, phase3, 2020-06-01, 
BLUE, phase3, 2020-06-11, 
RHHBY, phase3, 2020-06-18, 
RHHBY, phase3, 2020-06-19, 
PFE, phase3, 2020-06-24, 
BHVN, phase3, 2020-06-24, 
MEIP, phase3, 2020-07-02, 
REGN, phase3, 2020-07-02, 
SNY, phase3, 2020-07-02, 
LLY, phase3, 2020-07-17, 
ACAD, phase3, 2020-07-20, 
RHHBY, phase3, 2020-07-29, 
REGN, phase3, 2020-08-05, 
TEVA, phase3, 2020-08-05, 
RHHBY, phase3, 2020-08-06, 
CPRX, phase3, 2020-08-10, 
RHHBY, phase3, 2020-08-10, 
VNDA, phase3, 2020-08-18, 
ONTX, phase3, 2020-08-24, 
OTLK, phase3, 2020-08-26, 
ACST, phase3, 2020-08-31, 
REGN, phase3, 2020-09-01, 
SNY, phase3, 2020-09-01, 
CRBP, phase3, 2020-09-08, 
BGNE, phase3, 2020-09-17, 
RHHBY, phase3, 2020-09-18, 
ALC, phase3, 2020-09-24, 
PFE, phase3, 2020-09-28, 
IRWD, phase3, 2020-09-29, 
ALNY, phase3, 2020-09-30, 
BMY, phase3, 2020-10-02, 
PFE, phase3, 2020-10-09, 
SCNI, phase3, 2020-10-23, 
ATXS, phase3, 2020-10-26, 
LLY, phase3, 2020-10-26, 
AUPH, phase3, 2020-11-02, 
KPTI, phase3, 2020-11-02, 
BMY, phase3, 2020-11-03, 
MRK, phase3, 2020-11-09, 
JAZZ, phase3, 2020-11-12, 
BLPH, phase3, 2020-11-23, 
OVID, phase3, 2020-12-01, 
JAZZ, phase3, 2020-12-03, 
PLUR, phase3, 2020-12-09, 
XBIO, phase3, 2020-12-09, 
LLY, phase3, 2020-12-09, 
SVRA, phase3, 2020-12-10, 
AKTX, phase3, 2020-12-11, 
INCY, phase3, 2020-12-14, 
CLVS, phase3, 2020-12-21, 
TNXP, phase3, 2020-12-21, 
SNGX, phase3, 2020-12-22, 
SUPN, phase3, 2020-12-22, 
AMGN, phase3, 2020-12-22, 
BMY, phase3, 2020-12-23, 
OBSV, phase3, 2021-01-10, 
PFE, phase3, 2021-01-18, 
BHVN, phase3, 2021-01-18, 
GSK, phase3, 2021-01-20, 
RHHBY, phase3, 2021-01-25, 
AZN, phase3, 2021-02-05, 
PLX, phase3, 2021-02-10, 
BLUE, phase3, 2021-02-16, 
GKOS, phase3, 2021-02-25, 
SCYX, phase3, 2021-03-02, 
GSK, phase3, 2021-03-03, 
MOLN, phase3, 2021-03-03, 
VIR, phase3, 2021-03-03, 
PFE, phase3, 2021-03-03, 
FULC, phase3, 2021-03-04, 
NVS, phase3, 2021-03-09, 
BLUE, phase3, 2021-03-14, 
REGN, phase3, 2021-03-15, 
SNY, phase3, 2021-03-15, 
RHHBY, phase3, 2021-03-22, 
IONS, phase3, 2021-03-22, 
BRNS, phase3, 2021-03-22, 
AZN, phase3, 2021-03-22, 
LLY, phase3, 2021-04-08, 
INCY, phase3, 2021-04-08, 
AZN, phase3, 2021-04-12, 
BGNE, phase3, 2021-04-12, 
BHC, phase3, 2021-04-13, 
MRK, phase3, 2021-04-14, 
FRTX, phase3, 2021-04-23, 
MESO, phase3, 2021-04-29, 
MRK, phase3, 2021-05-20, 
PCRX, phase3, 2021-05-26, 
SNY, phase3, 2021-06-01, 
BGNE, phase3, 2021-06-04, 
BIIB, phase3, 2021-06-14, 
AZN, phase3, 2021-06-15, 
TARS, phase3, 2021-06-21, 
CORT, phase3, 2021-06-22, 
CRBP, phase3, 2021-06-24, 
ELTX, phase3, 2021-06-29, 
OCGN, phase3, 2021-07-02, 
SCPH, phase3, 2021-07-13, 
BMY, phase3, 2021-07-16, 
MRK, phase3, 2021-07-22, 
LLY, phase3, 2021-07-28, 
PFE, phase3, 2021-07-28, 
INSM, phase3, 2021-07-31, 
AZN, phase3, 2021-08-02, 
VALN, phase3, 2021-08-05, 
NVS, phase3, 2021-08-17, 
AZN, phase3, 2021-08-20, 
NVS, phase3, 2021-08-23, 
PFE, phase3, 2021-08-30, 
TAK, phase3, 2021-09-01, 
AMGN, phase3, 2021-09-05, 
AZN, phase3, 2021-09-05, 
TBPH, phase3, 2021-09-15, 
BMY, phase3, 2021-09-16, 
EXEL, phase3, 2021-09-16, 
BMY, phase3, 2021-09-16, 
MGNX, phase3, 2021-09-16, 
JNJ, phase3, 2021-09-16, 
AZN, phase3, 2021-09-17, 
CHRS, phase3, 2021-09-17, 
PFE, phase3, 2021-09-17, 
AZN, phase3, 2021-09-18, 
REGN, phase3, 2021-09-19, 
SNY, phase3, 2021-09-19, 
MRK, phase3, 2021-09-19, 
TGTX, phase3, 2021-09-20, 
EXEL, phase3, 2021-09-20, 
TAK, phase3, 2021-09-20, 
PCRX, phase3, 2021-09-21, 
JNJ, phase3, 2021-09-21, 
DVAX, phase3, 2021-09-22, 
GSK, phase3, 2021-09-22, 
PFE, phase3, 2021-09-27, 
BHVN, phase3, 2021-09-27, 
IVVD, phase3, 2021-09-29, 
PFE, phase3, 2021-09-29, 
ABBV, phase3, 2021-09-30, 
ARQT, phase3, 2021-09-30, 
RHHBY, phase3, 2021-09-30, 
REGN, phase3, 2021-09-30, 
FRTX, phase3, 2021-10-07, 
FRTX, phase3, 2021-10-07, 
OTLK, phase3, 2021-10-12, 
CVAC, phase3, 2021-10-12, 
BIIB, phase3, 2021-10-13, 
NRXP, phase3, 2021-10-14, 
EDSA, phase3, 2021-10-19, 
BIIB, phase3, 2021-10-20, 
OBSV, phase3, 2021-10-20, 
OBSV, phase3, 2021-10-20, 
OBSV, phase3, 2021-10-20, 
UTHR, phase3, 2021-10-21, 
MRK, phase3, 2021-10-25, 
NVS, phase3, 2021-10-25, 
ERYP, phase3, 2021-10-25, 
NVS, phase3, 2021-10-26, 
ELTX, phase3, 2021-10-26, 
RFL, phase3, 2021-10-28, 
SNY, phase3, 2021-10-29, 
ATRA, phase3, 2021-11-04, 
ALNY, phase3, 2021-11-05, 
RVNC, phase3, 2021-11-09, 
QNCX, phase3, 2021-11-11, 
SRNE, phase3, 2021-11-12, 
GYRE, phase3, 2021-11-12, 
ADTX, phase3, 2021-11-12, 
IONS, phase3, 2021-11-13, 
MIST, phase3, 2021-11-15, 
AMRN, phase3, 2021-11-16, 
AZN, phase3, 2021-11-18, 
ATNXQ, phase3, 2021-11-22, 
ABBV, phase3, 2021-11-30, 
ATNF, phase3, 2021-12-01, 
MOR, phase3, 2021-12-11, 
AZN, phase3, 2021-12-12, 
ABBV, phase3, 2021-12-13, 
INO, phase3, 2021-12-14, 
CNTA, phase3, 2021-12-14, 
GSK, phase3, 2021-12-15, 
SNY, phase3, 2021-12-15, 
ALLK, phase3, 2021-12-21, 
ALLK, phase3, 2021-12-21, 
KNSA, phase3, 2021-12-28, 
MOLN, phase3, 2022-01-10, 
PFE, phase3, 2022-01-12, 
MRK, phase3, 2022-01-18, 
AZN, phase3, 2022-01-18, 
FGEN, phase3, 2022-01-26, 
AVXL, phase3, 2022-02-01, 
VNDA, phase3, 2022-02-04, 
RDHL, phase3, 2022-02-07, 
MRK, phase3, 2022-02-08, 
PFE, phase3, 2022-02-08, 
AZN, phase3, 2022-02-10, 
GILD, phase3, 2022-02-16, 
SAGE, phase3, 2022-02-16, 
BIIB, phase3, 2022-02-16, 
REGN, phase3, 2022-02-18, 
SNY, phase3, 2022-02-18, 
RLMD, phase3, 2022-02-23, 
ABBV, phase3, 2022-02-24, 
BBIO, phase3, 2022-02-28, 
PFE, phase3, 2022-03-01, 
AMPE, phase3, 2022-03-02, 
NCNA, phase3, 2022-03-02, 
EXEL, phase3, 2022-03-14, 
TAK, phase3, 2022-03-14, 
BMY, phase3, 2022-03-14, 
NKTR, phase3, 2022-03-14, 
MRK, phase3, 2022-03-15, 
EIGR, phase3, 2022-03-17, 
ALNA, phase3, 2022-03-18, 
PLX, phase3, 2022-03-18, 
TNXP, phase3, 2022-03-21, 
MRNA, phase3, 2022-03-23, 
ARQT, phase3, 2022-03-25, 
PFE, phase3, 2022-03-29, 
MRK, phase3, 2022-04-01, 
CYTK, phase3, 2022-04-03, 
AMGN, phase3, 2022-04-03, 
BMY, phase3, 2022-04-03, 
ABBV, phase3, 2022-04-05, 
BMY, phase3, 2022-04-11, 
SYRE, phase3, 2022-04-11, 
PRQR, phase3, 2022-04-13, 
NKTR, phase3, 2022-04-14, 
AMGN, phase3, 2022-04-18, 
BGNE, phase3, 2022-04-19, 
OCUP, phase3, 2022-04-28, 
KOD, phase3, 2022-05-03, 
AXGN, phase3, 2022-05-04, 
SRNE, phase3, 2022-05-05, 
XERS, phase3, 2022-05-12, 
HRMY, phase3, 2022-05-13, 
ZYNE, phase3, 2022-05-13, 
AZN, phase3, 2022-05-16, 
GLMD, phase3, 2022-05-17, 
OCUP, phase3, 2022-05-19, 
ATHX, phase3, 2022-05-20, 
ALNY, phase3, 2022-05-23, 
NRXP, phase3, 2022-05-25, 
RLFTF, phase3, 2022-05-25, 
OBSV, phase3, 2022-05-25, 
RVMD, phase3, 2022-05-26, 
PLX, phase3, 2022-05-31, 
BMY, phase3, 2022-06-02, 
NVO, phase3, 2022-06-03, 
NVO, phase3, 2022-06-03, 
PFE, phase3, 2022-06-04, 
LLY, phase3, 2022-06-04, 
RFL, phase3, 2022-06-04, 
CLVS, phase3, 2022-06-06, 
BMY, phase3, 2022-06-06, 
PRAX, phase3, 2022-06-06, 
GILD, phase3, 2022-06-06, 
RVMD, phase3, 2022-06-06, 
BMY, phase3, 2022-06-07, 
RHHBY, phase3, 2022-06-07, 
ALDX, phase3, 2022-06-08, 
TAK, phase3, 2022-06-09, 
RHHBY, phase3, 2022-06-10, 
AGIO, phase3, 2022-06-10, 
PTCT, phase3, 2022-06-21, 
MRNA, phase3, 2022-06-22, 
AZN, phase3, 2022-06-23, 
MDGL, phase3, 2022-06-27, 
JAZZ, phase3, 2022-06-28, 
BGNE, phase3, 2022-06-30, 
HGEN, phase3, 2022-07-06, 
OPTN, phase3, 2022-07-08, 
ALDX, phase3, 2022-07-12, 
HGEN, phase3, 2022-07-13, 
CFRX, phase3, 2022-07-13, 
HRMY, phase3, 2022-07-18, 
ZYNE, phase3, 2022-07-18, 
NTBL, phase3, 2022-07-19, 
MRK, phase3, 2022-07-20, 
VTGN, phase3, 2022-07-22, 
PFE, phase3, 2022-07-28, 
IPHA, phase3, 2022-08-01, 
RHHBY, phase3, 2022-08-01, 
HALO, phase3, 2022-08-01, 
RHHBY, phase3, 2022-08-02, 
ACIU, phase3, 2022-08-02, 
MRK, phase3, 2022-08-03, 
MACK, phase3, 2022-08-03, 
RVMD, phase3, 2022-08-07, 
KRTX, phase3, 2022-08-08, 
NVS, phase3, 2022-08-12, 
NVS, phase3, 2022-08-15, 
SNY, phase3, 2022-08-17, 
